id,name,emoji,group,rarity
001,イヌ,🐶,ほ乳類,COMMON
002,ネコ,🐱,ほ乳類,COMMON
003,ウサギ,🐰,ほ乳類,COMMON
004,ハムスター,🐹,ほ乳類,COMMON
005,キツネ,🦊,ほ乳類,COMMON
006,タヌキ,🦝,ほ乳類,COMMON
007,クマ,🐻,ほ乳類,COMMON
008,シロクマ,🐻‍❄️,ほ乳類,COMMON
009,パンダ,🐼,ほ乳類,COMMON
010,コアラ,🐨,ほ乳類,COMMON
011,トラ,🐯,ほ乳類,COMMON
012,ライオン,🦁,ほ乳類,COMMON
013,ウシ,🐮,ほ乳類,COMMON
014,ブタ,🐷,ほ乳類,COMMON
015,イノシシ,🐗,ほ乳類,COMMON
016,サル,🐵,ほ乳類,COMMON
017,ゴリラ,🦍,ほ乳類,COMMON
018,オランウータン,🦧,ほ乳類,COMMON
019,ゾウ,🐘,ほ乳類,COMMON
020,マンモス,🦣,ほ乳類,COMMON
021,カバ,🦛,ほ乳類,COMMON
022,サイ,🦏,ほ乳類,COMMON
023,キリン,🦒,ほ乳類,COMMON
024,シマウマ,🦓,ほ乳類,COMMON
025,ウマ,🐴,ほ乳類,COMMON
026,シカ,🦌,ほ乳類,COMMON
027,ヤギ,🐐,ほ乳類,COMMON
028,ヒツジ,🐑,ほ乳類,COMMON
029,ラクダ,🐫,ほ乳類,COMMON
030,ラマ,🦙,ほ乳類,COMMON
031,カンガルー,🦘,ほ乳類,COMMON
032,ナマケモノ,🦥,ほ乳類,COMMON
033,カワウソ,🦦,ほ乳類,COMMON
034,ビーバー,🦫,ほ乳類,COMMON
035,スカンク,🦨,ほ乳類,COMMON
036,アナグマ,🦡,ほ乳類,COMMON
037,ハリネズミ,🦔,ほ乳類,COMMON
038,コウモリ,🦇,ほ乳類,COMMON
039,ネズミ,🐭,ほ乳類,COMMON
040,リス,🐿️,ほ乳類,COMMON
041,ニワトリ,🐔,鳥,COMMON
042,ヒヨコ,🐥,鳥,COMMON
043,アヒル,🦆,鳥,COMMON
044,ガチョウ,🪿,鳥,COMMON
045,フクロウ,🦉,鳥,COMMON
046,ワシ,🦅,鳥,COMMON
047,ハト,🕊️,鳥,COMMON
048,フラミンゴ,🦩,鳥,COMMON
049,クジャク,🦚,鳥,COMMON
050,オウム,🦜,鳥,COMMON
051,ペンギン,🐧,鳥,COMMON
052,ハクチョウ,🦢,鳥,COMMON
053,七面鳥,🦃,鳥,COMMON
054,カラス,🐦‍⬛,鳥,COMMON
055,小鳥,🐦,鳥,COMMON
056,ツル,🪽,鳥,COMMON
057,イルカ,🐬,海・川,COMMON
058,クジラ,🐳,海・川,COMMON
059,マッコウクジラ,🐋,海・川,COMMON
060,サメ,🦈,海・川,COMMON
061,アザラシ,🦭,海・川,COMMON
